Strategy,Popsize,Mutation,Nit,X0,X1,Estimated
rand1exp,20,0.9,206,0.0,0.0,20#0.9
rand1exp,20,0.8,171,0.0,0.0,20#0.8
rand1exp,20,0.7,157,0.0,0.0,20#0.7
rand1exp,20,0.6,137,0.0,0.0,20#0.6
rand1exp,20,0.5,124,0.0,0.0,20#0.5
rand1exp,20,0.4,112,0.0,0.0,20#0.4
rand1exp,20,0.3,105,0.0,0.0,20#0.3
rand1exp,20,0.2,95,0.0,0.0,20#0.2
rand1exp,20,0.1,39,-0.0,-0.0,20#0.1
rand1exp,20,0.0,8,0.0,0.95,20#0.0
randtobest1exp,10,1.0,42,-0.0,-0.0,10#1.0
randtobest1exp,10,0.9,132,0.0,0.0,10#0.9
randtobest1exp,10,0.8,116,0.0,0.0,10#0.8
randtobest1exp,10,0.7,99,0.0,0.0,10#0.7
randtobest1exp,10,0.6,92,0.0,0.0,10#0.6
randtobest1exp,10,0.5,81,0.0,0.0,10#0.5
randtobest1exp,10,0.4,72,0.0,0.0,10#0.4
randtobest1exp,10,0.3,76,0.0,0.0,10#0.3
randtobest1exp,10,0.2,23,0.0,-0.0,10#0.2
randtobest1exp,10,0.1,21,-0.0,0.02,10#0.1
randtobest1exp,10,0.0,8,-0.0,-0.0,10#0.0
randtobest1exp,11,1.0,36,-0.0,-0.0,11#1.0
randtobest1exp,11,0.9,143,0.0,0.0,11#0.9
randtobest1exp,11,0.8,120,0.0,0.0,11#0.8
randtobest1exp,11,0.7,99,0.0,0.0,11#0.7
randtobest1exp,11,0.6,91,0.0,0.0,11#0.6
randtobest1exp,11,0.5,79,0.0,0.0,11#0.5
randtobest1exp,11,0.4,71,0.0,0.0,11#0.4
randtobest1exp,11,0.3,56,0.0,-0.0,11#0.3
randtobest1exp,11,0.2,38,-0.0,-0.0,11#0.2
randtobest1exp,11,0.1,22,-0.0,-0.0,11#0.1
randtobest1exp,11,0.0,8,0.27,0.33,11#0.0
randtobest1exp,12,1.0,75,-0.0,-0.0,12#1.0
randtobest1exp,12,0.9,126,0.0,0.0,12#0.9
randtobest1exp,12,0.8,117,0.0,0.0,12#0.8
randtobest1exp,12,0.7,103,0.0,0.0,12#0.7
randtobest1exp,12,0.6,86,0.0,0.0,12#0.6
randtobest1exp,12,0.5,77,0.0,0.0,12#0.5
randtobest1exp,12,0.4,71,0.0,0.0,12#0.4
randtobest1exp,12,0.3,73,0.0,0.0,12#0.3
randtobest1exp,12,0.2,43,-0.0,-0.0,12#0.2
randtobest1exp,12,0.1,18,-0.0,-0.0,12#0.1
randtobest1exp,12,0.0,9,0.0,-0.0,12#0.0
randtobest1exp,13,1.0,47,-0.0,-0.0,13#1.0
randtobest1exp,13,0.9,144,0.0,0.0,13#0.9
randtobest1exp,13,0.8,122,0.0,0.0,13#0.8
randtobest1exp,13,0.7,96,0.0,0.0,13#0.7
randtobest1exp,13,0.6,85,0.0,0.0,13#0.6
randtobest1exp,13,0.5,75,0.0,0.0,13#0.5
randtobest1exp,13,0.4,74,0.0,0.0,13#0.4
randtobest1exp,13,0.3,70,0.0,0.0,13#0.3
randtobest1exp,13,0.2,70,0.0,-0.0,13#0.2
randtobest1exp,13,0.1,26,-0.0,0.0,13#0.1
randtobest1exp,13,0.0,13,-0.0,-0.0,13#0.0
randtobest1exp,14,1.0,42,-0.0,0.0,14#1.0
randtobest1exp,14,0.9,129,0.0,0.0,14#0.9
randtobest1exp,14,0.8,113,0.0,0.0,14#0.8
randtobest1exp,14,0.7,101,0.0,0.0,14#0.7
randtobest1exp,14,0.6,87,0.0,0.0,14#0.6
randtobest1exp,14,0.5,72,0.0,0.0,14#0.5
randtobest1exp,14,0.4,75,0.0,0.0,14#0.4
randtobest1exp,14,0.3,68,0.0,0.0,14#0.3
randtobest1exp,14,0.2,38,-0.0,0.0,14#0.2
randtobest1exp,14,0.1,24,-0.0,-0.0,14#0.1
randtobest1exp,14,0.0,12,0.42,0.03,14#0.0
randtobest1exp,15,1.0,166,0.0,0.0,15#1.0
randtobest1exp,15,0.9,132,0.0,0.0,15#0.9
randtobest1exp,15,0.8,118,0.0,0.0,15#0.8
randtobest1exp,15,0.7,96,0.0,0.0,15#0.7
randtobest1exp,15,0.6,86,0.0,0.0,15#0.6
randtobest1exp,15,0.5,76,0.0,0.0,15#0.5
randtobest1exp,15,0.4,77,0.0,0.0,15#0.4
randtobest1exp,15,0.3,71,0.0,0.0,15#0.3
randtobest1exp,15,0.2,75,0.0,0.0,15#0.2
randtobest1exp,15,0.1,26,0.0,-0.0,15#0.1
randtobest1exp,15,0.0,9,-0.0,-0.95,15#0.0
randtobest1exp,16,1.0,110,-0.0,-0.0,16#1.0
randtobest1exp,16,0.9,135,0.0,0.0,16#0.9
randtobest1exp,16,0.8,109,0.0,0.0,16#0.8
randtobest1exp,16,0.7,96,0.0,0.0,16#0.7
randtobest1exp,16,0.6,86,0.0,0.0,16#0.6
randtobest1exp,16,0.5,80,0.0,0.0,16#0.5
randtobest1exp,16,0.4,76,0.0,0.0,16#0.4
randtobest1exp,16,0.3,71,0.0,0.0,16#0.3
randtobest1exp,16,0.2,75,0.0,0.0,16#0.2
randtobest1exp,16,0.1,28,0.0,-0.0,16#0.1
randtobest1exp,16,0.0,9,0.0,-0.0,16#0.0
randtobest1exp,17,1.0,142,-0.0,0.0,17#1.0
randtobest1exp,17,0.9,133,0.0,0.0,17#0.9
randtobest1exp,17,0.8,114,0.0,0.0,17#0.8
randtobest1exp,17,0.7,101,0.0,0.0,17#0.7
randtobest1exp,17,0.6,92,0.0,0.0,17#0.6
randtobest1exp,17,0.5,79,0.0,0.0,17#0.5
randtobest1exp,17,0.4,75,0.0,0.0,17#0.4
randtobest1exp,17,0.3,73,0.0,0.0,17#0.3
randtobest1exp,17,0.2,32,0.0,0.0,17#0.2
randtobest1exp,17,0.1,28,-0.0,-0.01,17#0.1
randtobest1exp,17,0.0,10,-0.0,-0.0,17#0.0
randtobest1exp,18,1.0,163,0.0,0.0,18#1.0
randtobest1exp,18,0.9,132,0.0,0.0,18#0.9
randtobest1exp,18,0.8,121,0.0,0.0,18#0.8
randtobest1exp,18,0.7,99,0.0,0.0,18#0.7
randtobest1exp,18,0.6,86,0.0,0.0,18#0.6
randtobest1exp,18,0.5,81,0.0,0.0,18#0.5
randtobest1exp,18,0.4,78,0.0,0.0,18#0.4
randtobest1exp,18,0.3,66,0.0,0.0,18#0.3
randtobest1exp,18,0.2,59,0.0,-0.0,18#0.2
randtobest1exp,18,0.1,14,0.95,-0.0,18#0.1
randtobest1exp,18,0.0,11,-0.0,-0.0,18#0.0
randtobest1exp,19,1.0,157,-0.0,-0.0,19#1.0
randtobest1exp,19,0.9,135,0.0,0.0,19#0.9
randtobest1exp,19,0.8,119,0.0,0.0,19#0.8
randtobest1exp,19,0.7,96,0.0,0.0,19#0.7
randtobest1exp,19,0.6,90,0.0,0.0,19#0.6
randtobest1exp,19,0.5,79,0.0,0.0,19#0.5
randtobest1exp,19,0.4,74,0.0,0.0,19#0.4
randtobest1exp,19,0.3,73,0.0,0.0,19#0.3
randtobest1exp,19,0.2,37,0.0,-0.0,19#0.2
randtobest1exp,19,0.1,18,-0.0,-0.0,19#0.1
randtobest1exp,19,0.0,11,0.0,-0.0,19#0.0
randtobest1exp,20,1.0,161,0.0,0.0,20#1.0
randtobest1exp,20,0.9,135,0.0,0.0,20#0.9
randtobest1exp,20,0.8,117,0.0,0.0,20#0.8
randtobest1exp,20,0.7,101,0.0,0.0,20#0.7
randtobest1exp,20,0.6,89,0.0,0.0,20#0.6
randtobest1exp,20,0.5,78,0.0,0.0,20#0.5
randtobest1exp,20,0.4,71,0.0,0.0,20#0.4
randtobest1exp,20,0.3,71,0.0,0.0,20#0.3
randtobest1exp,20,0.2,71,0.0,0.0,20#0.2
randtobest1exp,20,0.1,28,-0.0,-0.0,20#0.1
randtobest1exp,20,0.0,8,0.0,0.95,20#0.0
currenttobest1exp,10,1.0,89,-0.0,0.0,10#1.0
currenttobest1exp,10,0.9,1000,0.0,0.0,10#0.9
currenttobest1exp,10,0.8,1000,0.0,0.0,10#0.8
currenttobest1exp,10,0.7,1000,0.0,0.0,10#0.7
